poll_id,poll_date,estado,municipio,candidate_id,percentual
PESQ-2026-BRASIL-01,2026-03-10,SP,São Paulo,11111111-1111-1111-1111-111111111111,30,20.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,SP,São Paulo,22222222-2222-2222-2222-222222222222,35,10.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,SP,São Paulo,33333333-3333-3333-3333-333333333333,13,80.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,SP,São Paulo,44444444-4444-4444-4444-444444444444,12,00.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,SP,São Paulo,55555555-5555-5555-5555-555555555555,8,90.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,RJ,Rio de Janeiro,11111111-1111-1111-1111-111111111111,30,20.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,RJ,Rio de Janeiro,22222222-2222-2222-2222-222222222222,35,10.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,RJ,Rio de Janeiro,33333333-3333-3333-3333-333333333333,13,80.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,RJ,Rio de Janeiro,44444444-4444-4444-4444-444444444444,12,00.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,RJ,Rio de Janeiro,55555555-5555-5555-5555-555555555555,8,90.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,DF,Brasília,11111111-1111-1111-1111-111111111111,30,20.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,DF,Brasília,22222222-2222-2222-2222-222222222222,35,10.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,DF,Brasília,33333333-3333-3333-3333-333333333333,13,80.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,DF,Brasília,44444444-4444-4444-4444-444444444444,12,00.Replace(',', '.')
PESQ-2026-BRASIL-01,2026-03-10,DF,Brasília,55555555-5555-5555-5555-555555555555,8,90.Replace(',', '.')
