poll_id,poll_date,estado,municipio,candidate_id,percentual
PESQ-2026-DEMO-V2,2026-03-10,SP,Guarulhos,11111111-1111-1111-1111-111111111111,34.50
PESQ-2026-DEMO-V2,2026-03-10,SP,Guarulhos,22222222-2222-2222-2222-222222222222,37.20
PESQ-2026-DEMO-V2,2026-03-10,SP,Guarulhos,33333333-3333-3333-3333-333333333333,12.80
PESQ-2026-DEMO-V2,2026-03-10,SP,Guarulhos,44444444-4444-4444-4444-444444444444,9.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Guarulhos,55555555-5555-5555-5555-555555555555,6.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Campinas,11111111-1111-1111-1111-111111111111,35.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Campinas,22222222-2222-2222-2222-222222222222,36.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Campinas,33333333-3333-3333-3333-333333333333,13.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Campinas,44444444-4444-4444-4444-444444444444,9.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Campinas,55555555-5555-5555-5555-555555555555,6.50
PESQ-2026-DEMO-V2,2026-03-10,SP,Santos,11111111-1111-1111-1111-111111111111,38.20
PESQ-2026-DEMO-V2,2026-03-10,SP,Santos,22222222-2222-2222-2222-222222222222,34.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Santos,33333333-3333-3333-3333-333333333333,13.50
PESQ-2026-DEMO-V2,2026-03-10,SP,Santos,44444444-4444-4444-4444-444444444444,8.70
PESQ-2026-DEMO-V2,2026-03-10,SP,Santos,55555555-5555-5555-5555-555555555555,5.60
PESQ-2026-DEMO-V2,2026-03-10,SP,Ribeirão Preto,11111111-1111-1111-1111-111111111111,39.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Ribeirão Preto,22222222-2222-2222-2222-222222222222,33.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Ribeirão Preto,33333333-3333-3333-3333-333333333333,14.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Ribeirão Preto,44444444-4444-4444-4444-444444444444,8.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Ribeirão Preto,55555555-5555-5555-5555-555555555555,5.50
PESQ-2026-DEMO-V2,2026-03-10,SP,São José dos Campos,11111111-1111-1111-1111-111111111111,37.60
PESQ-2026-DEMO-V2,2026-03-10,SP,São José dos Campos,22222222-2222-2222-2222-222222222222,34.80
